OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,INTENSITY // RawImage_MEAN,SHAPE // AREA_(PX^2)
2063,97.68641115,543.9268293,34,34088.43902,287
2064,109,422,34,33777.21762,193
2065,125.369281,472.6895425,34,33680.59477,306
2066,136,529,34,34489.86166,253
2067,142,596,34,33741,193
2068,148.6144578,446.5180723,34,33943.36546,249
2069,178.0194805,527.3538961,34,33822.38636,308
2070,184,440,34,33083.72464,69
2071,197.4984227,31.93690852,34,33530.41956,317
2072,194,612.5,34,33479.80288,208
2073,213,582,34,33538.58031,193
2074,215.2905983,70.70940171,34,33341.37179,234
2075,224.4093264,261.357513,34,33176.3886,193
2076,227.5,500,34,33404.51266,158
2077,237,26,34,33298.63768,69
2078,246.8734491,381.0669975,34,33837.65509,403
2079,247.5544041,323.4145078,34,33675.57513,193
2080,263.0422535,65.5915493,34,33329.70892,213
2081,267,673,34,33396.62385,109
2082,275,488,34,33437.97931,145
2083,284.4143426,282.4661355,34,33174.01992,251
2084,280.5,651,34,33442.00833,120
2085,290,335,34,33618.44177,249
2086,328,639,34,34126.45596,193
2087,345,266,34,33132.14508,193
2088,344,451,34,33756.2069,145
2089,355.6818182,146.4772727,34,33339.95682,440
2090,361.1561338,319.7546468,34,33150.42007,269
2091,362.0206186,99.97594502,34,33296.28522,291
2092,373,436,34,34382.05797,69
2093,378,614,34,33694.07254,193
2094,387.5,174,34,33799.57639,288
2095,392,679,34,33522.47586,145
2096,395,447,34,34155.30435,69
2097,414.40625,134.5369318,34,33730.0142,352
2098,420,653,34,34043.33793,145
2099,467.0798722,157.5814696,34,34382.03514,313
2100,492,430,34,33445.61044,249
2101,497.5,187,34,34691.41346,208
2102,501,471,34,33447.42487,193
2103,500,123,34,36233.07339,109
2104,518.1838235,153.7720588,34,36054.88971,136
2105,547,415,34,33445.90155,193
2106,553,456,34,33477.8069,145
2107,675.0157791,34.15384615,34,33656.98422,507
2108,751,393,34,33110.50459,109
2109,758,344,34,33102.29358,109
2110,775.5,216,34,33890.45988,324
2111,784,378,34,33194.55963,109
2112,795,169,34,33896.79518,249
2113,802,345,34,33197.69655,145
2114,818.4715447,222.5284553,34,34221.77236,246
2115,853.8713318,203.2437923,34,33706.09255,443
2116,890,253,34,33183.19171,193
2117,893,489,34,33094.89855,69
2118,897,516,34,33094.84058,69
2119,922,555,34,33826.80311,193
2120,933.3533569,267.3639576,34,33173.9894,283
2121,942.5405405,207.6679537,34,33182.73359,259
2122,940,179,34,34362.69655,145
2123,955.5912596,229.9305913,34,33161.52699,389
2124,959,578,34,33637.37681,69
2125,970,525,34,33939.22069,145
